,REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,VECTOR,COORDINATE,VALUE,TERMINATED
504767,2000-02,Ontario,2016A000235,Owned accommodation,2002=100,17,v41691955,14.84,93.2,0
504768,2000-02,Ontario,2016A000235,Homeowners' replacement cost,2002=100,17,v41691956,14.86,89.4,0
504769,2000-02,Ontario,2016A000235,Property taxes and other special charges,2002=100,17,v41691957,14.87,95.3,0
504770,2000-02,Ontario,2016A000235,Homeowners' home and mortgage insurance,2002=100,17,v41691958,14.88,85.2,0
504771,2000-02,Ontario,2016A000235,Homeowners' maintenance and repairs,2002=100,17,v41691959,14.89,91.3,0
504772,2000-02,Ontario,2016A000235,"Water, fuel and electricity",2002=100,17,v41691960,14.91,88.2,0
504773,2000-02,Ontario,2016A000235,Electricity,2002=100,17,v41691961,14.92,83.8,0
504774,2000-02,Ontario,2016A000235,Water,2002=100,17,v41691962,14.93,89.9,0
504775,2000-02,Ontario,2016A000235,Natural gas,2002=100,17,v41691963,14.94,87.2,0
504776,2000-02,Ontario,2016A000235,Fuel oil and other fuels,2002=100,17,v41691964,14.95,112.1,0
504777,2000-02,Ontario,2016A000235,"Household operations, furnishings and equipment",2002=100,17,v41691965,14.96,95.9,0
504778,2000-02,Ontario,2016A000235,Household operations,2002=100,17,v41691966,14.97,93.8,0
504779,2000-02,Ontario,2016A000235,Communications,2002=100,17,v41691967,14.98,92.6,0
504780,2000-02,Ontario,2016A000235,Telephone services,2002=100,17,v41691968,14.99,92.9,0
504781,2000-02,Ontario,2016A000235,Child care and housekeeping services,2002=100,17,v41691969,14.100999999999999,95.9,0
504782,2000-02,Ontario,2016A000235,Household cleaning products,2002=100,17,v41691970,14.104000000000001,96.1,0
504783,2000-02,Ontario,2016A000235,"Paper, plastic and aluminum foil supplies",2002=100,17,v41691971,14.107000000000001,91.2,0
504784,2000-02,Ontario,2016A000235,Other household goods and services,2002=100,17,v41691972,14.11,94.4,0
504785,2000-02,Ontario,2016A000235,Household furnishings and equipment,2002=100,17,v41691973,14.116,99.8,0
504786,2000-02,Ontario,2016A000235,Furniture and household textiles,2002=100,17,v41691974,14.117,99.7,0
504787,2000-02,Ontario,2016A000235,Furniture,2002=100,17,v41691975,14.118,101.7,0
504788,2000-02,Ontario,2016A000235,Household textiles,2002=100,17,v41691976,14.122,94.7,0
504789,2000-02,Ontario,2016A000235,Household equipment,2002=100,17,v41691977,14.126,101.1,0
504790,2000-02,Ontario,2016A000235,Household appliances,2002=100,17,v41691978,14.127,101.9,0
504791,2000-02,Ontario,2016A000235,"Non-electric kitchen utensils, tableware and cookware",2002=100,17,v41691979,14.132,95.5,0
504792,2000-02,Ontario,2016A000235,Clothing and footwear,2002=100,17,v41691980,14.139000000000001,102.5,0
504793,2000-02,Ontario,2016A000235,Clothing,2002=100,17,v41691981,14.14,103.8,0
504794,2000-02,Ontario,2016A000235,Women's clothing,2002=100,17,v41691982,14.140999999999998,106.3,0
504795,2000-02,Ontario,2016A000235,Men's clothing,2002=100,17,v41691983,14.148,100.1,0
504796,2000-02,Ontario,2016A000235,Children's clothing,2002=100,17,v41691984,14.155,103.9,0
504797,2000-02,Ontario,2016A000235,Footwear,2002=100,17,v41691985,14.161,102.2,0
504798,2000-02,Ontario,2016A000235,"Clothing accessories, watches and jewellery",2002=100,17,v41691986,14.165999999999999,103.2,0
504799,2000-02,Ontario,2016A000235,"Clothing material, notions and services",2002=100,17,v41691987,14.171,94.8,0
504800,2000-02,Ontario,2016A000235,Transportation,2002=100,17,v41691988,14.175999999999998,96.7,0
504801,2000-02,Ontario,2016A000235,Private transportation,2002=100,17,v41691989,14.177,97.2,0
504802,2000-02,Ontario,2016A000235,"Purchase, leasing and rental of passenger vehicles",2002=100,17,v41691990,14.177999999999999,101.9,0
504803,2000-02,Ontario,2016A000235,Purchase and leasing of passenger vehicles,2002=100,17,v41691991,14.179,102.0,0
504804,2000-02,Ontario,2016A000235,Purchase of passenger vehicles,2002=100,17,v41691992,14.18,102.3,0
504805,2000-02,Ontario,2016A000235,Operation of passenger vehicles,2002=100,17,v41691993,14.183,94.5,0
504806,2000-02,Ontario,2016A000235,Gasoline,2002=100,17,v41691994,14.184000000000001,98.3,0
504807,2000-02,Ontario,2016A000235,"Passenger vehicle parts, maintenance and repairs",2002=100,17,v41691995,14.185,93.6,0
504808,2000-02,Ontario,2016A000235,Other passenger vehicle operating expenses,2002=100,17,v41691996,14.187999999999999,91.6,0
504809,2000-02,Ontario,2016A000235,Passenger vehicle insurance premiums,2002=100,17,v41691997,14.189,90.9,0
504810,2000-02,Ontario,2016A000235,Passenger vehicle registration fees,2002=100,17,v41691998,14.19,100.0,0
504811,2000-02,Ontario,2016A000235,Public transportation,2002=100,17,v41691999,14.194,92.1,0
504812,2000-02,Ontario,2016A000235,Local and commuter transportation,2002=100,17,v41692000,14.195,94.3,0
504813,2000-02,Ontario,2016A000235,City bus and subway transportation,2002=100,17,v41692001,14.196,93.7,0
504814,2000-02,Ontario,2016A000235,Taxi and other local and commuter transportation services,2002=100,17,v41692002,14.197000000000001,96.3,0
504815,2000-02,Ontario,2016A000235,Inter-city transportation,2002=100,17,v41692003,14.198,90.7,0
504816,2000-02,Ontario,2016A000235,Health and personal care,2002=100,17,v41692004,14.200999999999999,96.2,0
504817,2000-02,Ontario,2016A000235,Health care,2002=100,17,v41692005,14.202,93.9,0
504818,2000-02,Ontario,2016A000235,Health care goods,2002=100,17,v41713475,14.31,96.1,0
504819,2000-02,Ontario,2016A000235,Medicinal and pharmaceutical products,2002=100,17,v41692007,14.204,96.2,0
504820,2000-02,Ontario,2016A000235,Prescribed medicines (excluding medicinal cannabis),2002=100,17,v41692008,14.205,94.0,0
504821,2000-02,Ontario,2016A000235,Non-prescribed medicines,2002=100,17,v41692009,14.206,100.0,0
504822,2000-02,Ontario,2016A000235,Health care services,2002=100,17,v41713476,14.311,91.8,0
504823,2000-02,Ontario,2016A000235,Personal care,2002=100,17,v41692011,14.212,98.1,0
504824,2000-02,Ontario,2016A000235,Personal care supplies and equipment,2002=100,17,v41692012,14.213,99.7,0
504825,2000-02,Ontario,2016A000235,Personal care services,2002=100,17,v41692013,14.218,95.5,0
504826,2000-02,Ontario,2016A000235,"Recreation, education and reading",2002=100,17,v41692014,14.219000000000001,94.2,0
504827,2000-02,Ontario,2016A000235,Recreation,2002=100,17,v41692015,14.22,95.8,0
504828,2000-02,Ontario,2016A000235,Recreational equipment and services (excluding recreational vehicles),2002=100,17,v41692016,14.220999999999998,109.5,0
504829,2000-02,Ontario,2016A000235,Purchase and operation of recreational vehicles,2002=100,17,v41692017,14.228,97.0,0
504830,2000-02,Ontario,2016A000235,"Home entertainment equipment, parts and services",2002=100,17,v41692018,14.232999999999999,103.4,0
504831,2000-02,Ontario,2016A000235,Travel services,2002=100,17,v41692019,14.24,89.1,0
504832,2000-02,Ontario,2016A000235,Traveller accommodation,2002=100,17,v41692020,14.241,96.3,0
504833,2000-02,Ontario,2016A000235,Other cultural and recreational services,2002=100,17,v41692021,14.243,89.5,0
504834,2000-02,Ontario,2016A000235,Video and audio subscription services,2002=100,17,v41692022,14.245,89.6,0
504835,2000-02,Ontario,2016A000235,Education and reading,2002=100,17,v41692023,14.247,90.2,0
504836,2000-02,Ontario,2016A000235,Education,2002=100,17,v41692024,14.248,90.4,0
504837,2000-02,Ontario,2016A000235,Tuition fees,2002=100,17,v41692025,14.249,90.6,0
504838,2000-02,Ontario,2016A000235,Reading material (excluding textbooks),2002=100,17,v41692026,14.252,89.5,0
504839,2000-02,Ontario,2016A000235,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,v41692027,14.255999999999998,78.0,0
504840,2000-02,Ontario,2016A000235,Alcoholic beverages,2002=100,17,v41692028,14.257,95.5,0
504841,2000-02,Ontario,2016A000235,Alcoholic beverages served in licensed establishments,2002=100,17,v41692029,14.258,92.5,0
504842,2000-02,Ontario,2016A000235,Alcoholic beverages purchased from stores,2002=100,17,v41692030,14.262,96.6,0
504843,2000-02,Ontario,2016A000235,Beer purchased from stores,2002=100,17,v41692031,14.263,94.7,0
504844,2000-02,Ontario,2016A000235,Wine purchased from stores,2002=100,17,v41692032,14.264000000000001,100.1,0
504845,2000-02,Ontario,2016A000235,Liquor purchased from stores,2002=100,17,v41692033,14.265,97.6,0
504846,2000-02,Ontario,2016A000235,Tobacco products and smokers' supplies,2002=100,17,v41692034,14.265999999999998,63.9,0
504847,2000-02,Ontario,2016A000235,Cigarettes,2002=100,17,v41692035,14.267000000000001,64.0,0
504849,2000-02,Ontario,2016A000235,All-items excluding food,2002=100,17,v41692044,14.284,94.4,0
504850,2000-02,Ontario,2016A000235,All-items excluding food and energy,2002=100,17,v41692045,14.285,94.6,0
504851,2000-02,Ontario,2016A000235,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",2002=100,17,v41692052,14.29,94.6,0
504854,2000-02,Ontario,2016A000235,All-items excluding shelter,2002=100,17,v41692046,14.293,94.4,0
504855,2000-02,Ontario,2016A000235,All-items excluding energy,2002=100,17,v41692050,14.287,94.0,0
504856,2000-02,Ontario,2016A000235,All-items excluding gasoline,2002=100,17,v41693257,14.302,93.7,0
504858,2000-02,Ontario,2016A000235,Private transportation excluding gasoline,2002=100,17,v43972169,14.312000000000001,96.8,0
504859,2000-02,Ontario,2016A000235,Food and energy,2002=100,17,v41692049,14.286,92.0,0
504860,2000-02,Ontario,2016A000235,Fresh fruit and vegetables,2002=100,17,v41692047,14.294,80.8,0
504861,2000-02,Ontario,2016A000235,Energy,2002=100,17,v41692051,14.288,93.0,0
504865,2000-02,Ontario,2016A000235,Goods,2002=100,17,v41692039,14.274000000000001,94.9,0
504866,2000-02,Ontario,2016A000235,Durable goods,2002=100,17,v41692040,14.275,102.9,0
504867,2000-02,Ontario,2016A000235,Semi-durable goods,2002=100,17,v41692041,14.276,100.1,0
504868,2000-02,Ontario,2016A000235,Non-durable goods,2002=100,17,v41692042,14.277000000000001,90.6,0
504869,2000-02,Ontario,2016A000235,Services,2002=100,17,v41692043,14.282,93.1,0
504876,2000-02,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,v41692888,16.2,93.9,0
504877,2000-02,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,v41692889,16.79,92.9,0
504878,2000-02,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,v41692890,16.8,94.2,0
504879,2000-02,"Toronto, Ontario",2011S0503535,Owned accommodation,2002=100,17,v41692891,16.84,93.3,0
504880,2000-02,"Toronto, Ontario",2011S0503535,"Water, fuel and electricity",2002=100,17,v41692892,16.91,88.5,0
506739,2000-03,Ontario,2016A000235,All-items,2002=100,17,v41691919,14.2,94.7,0
506740,2000-03,Ontario,2016A000235,Food,2002=100,17,v41691920,14.3,92.0,0
506741,2000-03,Ontario,2016A000235,Food purchased from stores,2002=100,17,v41691921,14.4,91.3,0
506742,2000-03,Ontario,2016A000235,Meat,2002=100,17,v41691922,14.5,87.9,0
506743,2000-03,Ontario,2016A000235,Fresh or frozen meat (excluding poultry),2002=100,17,v41691923,14.6,81.8,0
506744,2000-03,Ontario,2016A000235,Fresh or frozen beef,2002=100,17,v41691924,14.7,79.4,0
506745,2000-03,Ontario,2016A000235,Fresh or frozen pork,2002=100,17,v41691925,14.8,85.9,0
506746,2000-03,Ontario,2016A000235,Fresh or frozen poultry,2002=100,17,v41691926,14.1,89.9,0
506747,2000-03,Ontario,2016A000235,Fresh or frozen chicken,2002=100,17,v41691927,14.11,89.1,0
506748,2000-03,Ontario,2016A000235,Processed meat,2002=100,17,v41691928,14.13,96.2,0
506749,2000-03,Ontario,2016A000235,"Fish, seafood and other marine products",2002=100,17,v41691929,14.16,94.0,0
506750,2000-03,Ontario,2016A000235,Fish,2002=100,17,v41691930,14.17,93.7,0
506751,2000-03,Ontario,2016A000235,Dairy products and eggs,2002=100,17,v41691931,14.21,93.0,0
506752,2000-03,Ontario,2016A000235,Dairy products,2002=100,17,v41691932,14.22,92.9,0
506753,2000-03,Ontario,2016A000235,Fresh milk,2002=100,17,v41691933,14.23,92.7,0
506754,2000-03,Ontario,2016A000235,Butter,2002=100,17,v41691934,14.24,92.6,0
506755,2000-03,Ontario,2016A000235,Cheese,2002=100,17,v41691935,14.25,94.6,0
506756,2000-03,Ontario,2016A000235,Eggs,2002=100,17,v41691936,14.28,94.2,0
506757,2000-03,Ontario,2016A000235,Bakery and cereal products (excluding baby food),2002=100,17,v41691937,14.29,93.3,0
506758,2000-03,Ontario,2016A000235,Bakery products,2002=100,17,v41691938,14.3,90.7,0
506759,2000-03,Ontario,2016A000235,Cereal products (excluding baby food),2002=100,17,v41691939,14.34,97.8,0
506760,2000-03,Ontario,2016A000235,"Fruit, fruit preparations and nuts",2002=100,17,v41691940,14.39,88.1,0
506761,2000-03,Ontario,2016A000235,Fresh fruit,2002=100,17,v41691941,14.4,81.9,0
506762,2000-03,Ontario,2016A000235,Preserved fruit and fruit preparations,2002=100,17,v41691942,14.45,98.0,0
506763,2000-03,Ontario,2016A000235,Vegetables and vegetable preparations,2002=100,17,v41691943,14.49,84.2,0
506764,2000-03,Ontario,2016A000235,Fresh vegetables,2002=100,17,v41691944,14.5,80.9,0
506765,2000-03,Ontario,2016A000235,Preserved vegetables and vegetable preparations,2002=100,17,v41691945,14.55,97.6,0
506766,2000-03,Ontario,2016A000235,Other food products and non-alcoholic beverages,2002=100,17,v41691946,14.58,97.7,0
506767,2000-03,Ontario,2016A000235,Sugar and confectionery,2002=100,17,v41691947,14.59,97.5,0
506768,2000-03,Ontario,2016A000235,Edible fats and oils,2002=100,17,v41691948,14.62,97.5,0
506769,2000-03,Ontario,2016A000235,Coffee and tea,2002=100,17,v41691949,14.65,106.2,0
506770,2000-03,Ontario,2016A000235,Non-alcoholic beverages,2002=100,17,v41691950,14.74,98.0,0
506771,2000-03,Ontario,2016A000235,Food purchased from restaurants,2002=100,17,v41691951,14.75,94.0,0
506772,2000-03,Ontario,2016A000235,Shelter,2002=100,17,v41691952,14.79,92.9,0
506773,2000-03,Ontario,2016A000235,Rented accommodation,2002=100,17,v41691953,14.8,95.2,0
506774,2000-03,Ontario,2016A000235,Rent,2002=100,17,v41691954,14.81,95.3,0
506775,2000-03,Ontario,2016A000235,Owned accommodation,2002=100,17,v41691955,14.84,93.7,0
506776,2000-03,Ontario,2016A000235,Homeowners' replacement cost,2002=100,17,v41691956,14.86,90.1,0
506777,2000-03,Ontario,2016A000235,Property taxes and other special charges,2002=100,17,v41691957,14.87,95.3,0
506778,2000-03,Ontario,2016A000235,Homeowners' home and mortgage insurance,2002=100,17,v41691958,14.88,86.0,0
506779,2000-03,Ontario,2016A000235,Homeowners' maintenance and repairs,2002=100,17,v41691959,14.89,92.2,0
506780,2000-03,Ontario,2016A000235,"Water, fuel and electricity",2002=100,17,v41691960,14.91,87.0,0
506781,2000-03,Ontario,2016A000235,Electricity,2002=100,17,v41691961,14.92,83.8,0
506782,2000-03,Ontario,2016A000235,Water,2002=100,17,v41691962,14.93,90.5,0
506783,2000-03,Ontario,2016A000235,Natural gas,2002=100,17,v41691963,14.94,84.3,0
506784,2000-03,Ontario,2016A000235,Fuel oil and other fuels,2002=100,17,v41691964,14.95,108.1,0
506785,2000-03,Ontario,2016A000235,"Household operations, furnishings and equipment",2002=100,17,v41691965,14.96,96.3,0
506786,2000-03,Ontario,2016A000235,Household operations,2002=100,17,v41691966,14.97,94.1,0
506787,2000-03,Ontario,2016A000235,Communications,2002=100,17,v41691967,14.98,92.6,0
506788,2000-03,Ontario,2016A000235,Telephone services,2002=100,17,v41691968,14.99,92.9,0
506789,2000-03,Ontario,2016A000235,Child care and housekeeping services,2002=100,17,v41691969,14.100999999999999,95.9,0
506790,2000-03,Ontario,2016A000235,Household cleaning products,2002=100,17,v41691970,14.104000000000001,96.3,0
506791,2000-03,Ontario,2016A000235,"Paper, plastic and aluminum foil supplies",2002=100,17,v41691971,14.107000000000001,93.8,0
506792,2000-03,Ontario,2016A000235,Other household goods and services,2002=100,17,v41691972,14.11,94.4,0
506793,2000-03,Ontario,2016A000235,Household furnishings and equipment,2002=100,17,v41691973,14.116,100.4,0
506794,2000-03,Ontario,2016A000235,Furniture and household textiles,2002=100,17,v41691974,14.117,100.2,0
506795,2000-03,Ontario,2016A000235,Furniture,2002=100,17,v41691975,14.118,101.7,0
506796,2000-03,Ontario,2016A000235,Household textiles,2002=100,17,v41691976,14.122,96.6,0
506797,2000-03,Ontario,2016A000235,Household equipment,2002=100,17,v41691977,14.126,102.0,0
506798,2000-03,Ontario,2016A000235,Household appliances,2002=100,17,v41691978,14.127,102.2,0
506799,2000-03,Ontario,2016A000235,"Non-electric kitchen utensils, tableware and cookware",2002=100,17,v41691979,14.132,94.9,0
506800,2000-03,Ontario,2016A000235,Clothing and footwear,2002=100,17,v41691980,14.139000000000001,102.7,0
506801,2000-03,Ontario,2016A000235,Clothing,2002=100,17,v41691981,14.14,104.1,0
506802,2000-03,Ontario,2016A000235,Women's clothing,2002=100,17,v41691982,14.140999999999998,106.9,0
506803,2000-03,Ontario,2016A000235,Men's clothing,2002=100,17,v41691983,14.148,100.7,0
506804,2000-03,Ontario,2016A000235,Children's clothing,2002=100,17,v41691984,14.155,101.8,0
506805,2000-03,Ontario,2016A000235,Footwear,2002=100,17,v41691985,14.161,102.1,0
506806,2000-03,Ontario,2016A000235,"Clothing accessories, watches and jewellery",2002=100,17,v41691986,14.165999999999999,103.6,0
506807,2000-03,Ontario,2016A000235,"Clothing material, notions and services",2002=100,17,v41691987,14.171,94.6,0
506808,2000-03,Ontario,2016A000235,Transportation,2002=100,17,v41691988,14.175999999999998,98.7,0
506809,2000-03,Ontario,2016A000235,Private transportation,2002=100,17,v41691989,14.177,99.5,0
506810,2000-03,Ontario,2016A000235,"Purchase, leasing and rental of passenger vehicles",2002=100,17,v41691990,14.177999999999999,101.9,0
506811,2000-03,Ontario,2016A000235,Purchase and leasing of passenger vehicles,2002=100,17,v41691991,14.179,102.0,0
506812,2000-03,Ontario,2016A000235,Purchase of passenger vehicles,2002=100,17,v41691992,14.18,102.3,0
506813,2000-03,Ontario,2016A000235,Operation of passenger vehicles,2002=100,17,v41691993,14.183,98.1,0
506814,2000-03,Ontario,2016A000235,Gasoline,2002=100,17,v41691994,14.184000000000001,107.6,0
506815,2000-03,Ontario,2016A000235,"Passenger vehicle parts, maintenance and repairs",2002=100,17,v41691995,14.185,93.6,0
506816,2000-03,Ontario,2016A000235,Other passenger vehicle operating expenses,2002=100,17,v41691996,14.187999999999999,91.8,0
506817,2000-03,Ontario,2016A000235,Passenger vehicle insurance premiums,2002=100,17,v41691997,14.189,91.1,0
506818,2000-03,Ontario,2016A000235,Passenger vehicle registration fees,2002=100,17,v41691998,14.19,100.0,0
506819,2000-03,Ontario,2016A000235,Public transportation,2002=100,17,v41691999,14.194,92.0,0
506820,2000-03,Ontario,2016A000235,Local and commuter transportation,2002=100,17,v41692000,14.195,94.3,0
506821,2000-03,Ontario,2016A000235,City bus and subway transportation,2002=100,17,v41692001,14.196,93.7,0
506822,2000-03,Ontario,2016A000235,Taxi and other local and commuter transportation services,2002=100,17,v41692002,14.197000000000001,96.3,0
506823,2000-03,Ontario,2016A000235,Inter-city transportation,2002=100,17,v41692003,14.198,90.5,0
506824,2000-03,Ontario,2016A000235,Health and personal care,2002=100,17,v41692004,14.200999999999999,96.2,0
506825,2000-03,Ontario,2016A000235,Health care,2002=100,17,v41692005,14.202,93.8,0
506826,2000-03,Ontario,2016A000235,Health care goods,2002=100,17,v41713475,14.31,95.9,0
506827,2000-03,Ontario,2016A000235,Medicinal and pharmaceutical products,2002=100,17,v41692007,14.204,96.4,0
506828,2000-03,Ontario,2016A000235,Prescribed medicines (excluding medicinal cannabis),2002=100,17,v41692008,14.205,94.5,0
506829,2000-03,Ontario,2016A000235,Non-prescribed medicines,2002=100,17,v41692009,14.206,99.8,0
506830,2000-03,Ontario,2016A000235,Health care services,2002=100,17,v41713476,14.311,91.8,0
506831,2000-03,Ontario,2016A000235,Personal care,2002=100,17,v41692011,14.212,98.2,0
506832,2000-03,Ontario,2016A000235,Personal care supplies and equipment,2002=100,17,v41692012,14.213,99.8,0
506833,2000-03,Ontario,2016A000235,Personal care services,2002=100,17,v41692013,14.218,95.5,0
506834,2000-03,Ontario,2016A000235,"Recreation, education and reading",2002=100,17,v41692014,14.219000000000001,95.5,0
506835,2000-03,Ontario,2016A000235,Recreation,2002=100,17,v41692015,14.22,97.1,0
506836,2000-03,Ontario,2016A000235,Recreational equipment and services (excluding recreational vehicles),2002=100,17,v41692016,14.220999999999998,109.2,0
506837,2000-03,Ontario,2016A000235,Purchase and operation of recreational vehicles,2002=100,17,v41692017,14.228,98.6,0
506838,2000-03,Ontario,2016A000235,"Home entertainment equipment, parts and services",2002=100,17,v41692018,14.232999999999999,103.4,0
506839,2000-03,Ontario,2016A000235,Travel services,2002=100,17,v41692019,14.24,93.5,0
506840,2000-03,Ontario,2016A000235,Traveller accommodation,2002=100,17,v41692020,14.241,96.3,0
506841,2000-03,Ontario,2016A000235,Other cultural and recreational services,2002=100,17,v41692021,14.243,89.5,0
506842,2000-03,Ontario,2016A000235,Video and audio subscription services,2002=100,17,v41692022,14.245,89.6,0
506843,2000-03,Ontario,2016A000235,Education and reading,2002=100,17,v41692023,14.247,91.4,0
506844,2000-03,Ontario,2016A000235,Education,2002=100,17,v41692024,14.248,91.2,0
506845,2000-03,Ontario,2016A000235,Tuition fees,2002=100,17,v41692025,14.249,90.6,0
506846,2000-03,Ontario,2016A000235,Reading material (excluding textbooks),2002=100,17,v41692026,14.252,92.0,0
506847,2000-03,Ontario,2016A000235,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,v41692027,14.255999999999998,78.1,0
506848,2000-03,Ontario,2016A000235,Alcoholic beverages,2002=100,17,v41692028,14.257,95.5,0
506849,2000-03,Ontario,2016A000235,Alcoholic beverages served in licensed establishments,2002=100,17,v41692029,14.258,92.5,0
506850,2000-03,Ontario,2016A000235,Alcoholic beverages purchased from stores,2002=100,17,v41692030,14.262,96.6,0
506851,2000-03,Ontario,2016A000235,Beer purchased from stores,2002=100,17,v41692031,14.263,94.7,0
506852,2000-03,Ontario,2016A000235,Wine purchased from stores,2002=100,17,v41692032,14.264000000000001,99.4,0
506853,2000-03,Ontario,2016A000235,Liquor purchased from stores,2002=100,17,v41692033,14.265,98.2,0
506854,2000-03,Ontario,2016A000235,Tobacco products and smokers' supplies,2002=100,17,v41692034,14.265999999999998,64.0,0
506855,2000-03,Ontario,2016A000235,Cigarettes,2002=100,17,v41692035,14.267000000000001,64.1,0
506857,2000-03,Ontario,2016A000235,All-items excluding food,2002=100,17,v41692044,14.284,95.2,0
506858,2000-03,Ontario,2016A000235,All-items excluding food and energy,2002=100,17,v41692045,14.285,95.0,0
506859,2000-03,Ontario,2016A000235,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",2002=100,17,v41692052,14.29,95.3,0
506862,2000-03,Ontario,2016A000235,All-items excluding shelter,2002=100,17,v41692046,14.293,95.4,0
506863,2000-03,Ontario,2016A000235,All-items excluding energy,2002=100,17,v41692050,14.287,94.5,0
506864,2000-03,Ontario,2016A000235,All-items excluding gasoline,2002=100,17,v41693257,14.302,94.1,0
506866,2000-03,Ontario,2016A000235,Private transportation excluding gasoline,2002=100,17,v43972169,14.312000000000001,96.9,0
506867,2000-03,Ontario,2016A000235,Food and energy,2002=100,17,v41692049,14.286,93.7,0
506868,2000-03,Ontario,2016A000235,Fresh fruit and vegetables,2002=100,17,v41692047,14.294,81.3,0
506869,2000-03,Ontario,2016A000235,Energy,2002=100,17,v41692051,14.288,96.7,0
506873,2000-03,Ontario,2016A000235,Goods,2002=100,17,v41692039,14.274000000000001,96.0,0
506874,2000-03,Ontario,2016A000235,Durable goods,2002=100,17,v41692040,14.275,103.0,0
506875,2000-03,Ontario,2016A000235,Semi-durable goods,2002=100,17,v41692041,14.276,101.0,0
